Year,Gross domestic product in billion international dollars
2021*,1237.69
2020*,1190.56
2019*,1201.63
2018,1143.37
2017,1057.71
2016,986.67
2015,933.94
2014,888.27
2013,838.16
2012,794.45
2011,750.69
2010,709.62
2009,683.8
2008,676.19
2007,631.77
2006,582.97
2005,534.73
2004,475.94
2003,431.2
2002,404.23
2001,385.93
2000,370.36
1999,348.64
1998,329.88
1997,315.2
1996,304.67
1995,280.67
1994,261.66
1993,245.46
1992,234.86
1991,213.47
1990,196.41
1989,181.02
1988,166.2
1987,150.83
1986,139.11
1985,128.2
1984,114.82
