Year,GDP per capita in U.S. dollars
2024,12830.13
2023,12037.1
2022,11254.03
2021,10598.52
2020,10042.78
2019,9654.81
2018,9251.21
2017,8778.47
2016,8530.36
2015,8540.39
2014,8619.26
2013,8882.8
2012,8996.56
2011,8734.19
2010,8858.28
2009,8480.99
2008,7109.51
2007,6086.8
2006,5434.25
2005,4390.21
2004,5473.48
2003,5260.89
2002,5343.65
2001,5163.66
2000,5256.62
1999,5436.75
1998,5474.55
1997,5019.86
1996,4173.21
1995,3614.22
1994,3019.67
1993,2561.29
1992,1937.9
1991,1594.75
1990,1035.46
1989,1002.25
1988,1235.08
1987,1242.79
1986,1073.33
1985,1397.48
1984,1692.11
