Year,Inflation rate compared to previous year
2025*,2%
2024*,2%
2023*,2%
2022*,2%
2021*,1.5%
2020*,0.5%
2019*,-2.89%
2018,1.73%
2017,1.76%
2016,-1.8%
2015,1.44%
2014,2.73%
2013,-2.38%
2012,5.32%
2011,3.05%
2010,1.29%
2009,2.22%
2008,9.12%
2007,1.46%
2006,1.52%
2005,6.41%
2004,-3.11%
2003,-1.31%
2002,5.03%
2001,5.17%
2000,-0.76%
1999,-1.16%
1998,4.07%
1997,-0.67%
1996,6.45%
1995,11.64%
1994,24.29%
1993,-0.57%
1992,-5.91%
1991,1.51%
1990,1.61%
1989,-0.16%
1988,8.95%
1987,-14.94%
1986,-1.39%
1985,9.08%
