American football player,Number of passing yards
Drew Brees (2001-2020),80157
Tom Brady (2000-2020),78805
Peyton Manning (1998-2015),71940
Brett Favre (1991-2010),71838
Philip Rivers (2004-2020),63276
Dan Marino (1983-1999),61361
Ben Roethlisberger (2004-2020),60348
Eli Manning (2004-2020),57023
Matt Ryan (2008-2020),55502
John Elway (1983-1998),51475
Aaron Rodgers (2005-2020),51005
Warren Moon (1984-2000),49325
Fran Tarkenton (1961-1978),47003
Carson Palmer (2004-2017),46247
Vinny Testaverde (1987-2007),46233
Matthew Stafford (2009-2020),44816
Drew Bledsoe (1993-2006),44611
Dan Fouts (1973-1987),43040
Joe Flacco (2008-2020),40931
Kerry Collins (1995-2011),40922
