State,"Larceny theft rate per 100,000 inhabitants"
District of Columbia,3775.4
Louisiana,2352.4
South Carolina,2116.1
Hawaii,2093.0
Alaska,2066.0
Oregon,2021.5
Arkansas,2012.6
New Mexico,1988.8
Tennessee,1934.4
Washington,1907.9
Alabama,1886.1
Missouri,1865.0
Colorado,1858.3
Oklahoma,1835.5
Arizona,1796.9
Delaware,1782.7
Georgia,1779.8
Texas,1730.6
Kansas,1721.9
Montana,1700.6
Utah,1682.4
Florida,1668.7
North Carolina,1666.0
Minnesota,1597.5
California,1586.3
Mississippi,1555.7
United States,1549.5
Nebraska,1536.3
Ohio,1520.4
Maryland,1485.0
Nevada,1453.0
Indiana,1443.4
Illinois,1426.6
North Dakota,1399.6
Virginia,1359.5
Kentucky,1323.5
South Dakota,1273.4
Wyoming,1206.7
Iowa,1199.6
Rhode Island,1187.5
Vermont,1172.3
New York,1166.1
Wisconsin,1127.0
Pennsylvania,1124.2
Michigan,1121.3
West Virginia,1119.7
Connecticut,1078.7
New Jersey,1034.7
New Hampshire,1017.3
Maine,1016.7
Massachusetts,911.8
Idaho,911.8
