government department,Funds in million U.S. dollars
Department of Health and Human Services,18313.19
National Science Foundation,4611.32
Department of Energy,4025.36
National Aeronautics and Space Administration,3317.33
Department of Defense,2938.3
Department of Agriculture,929.0
Department of Education,613.46
Department of Commerce,347.3
Department of Transportation,81.6
Environmental Protection Agency,51.7
Department of the Interior,48.4
Agency for International Development,47.5
Department of Justice,40.7
Department of Homeland Security,37.8
Other agencies,9.2
Nuclear Regulatory Commission,5.9
Department of Housing and Urban Development,1.8
