Quarter,Revenue in million euros
Q1 '20,244
Q4 '19,348
Q3 '19,323
Q2 '19,324
Q1 '19,300
Q4 '18,367
Q3 '18**,0
Q2 '18**,0
Q1' 18,330
Q4' 17,402
Q3' 17,362
Q2' 17,358
Q1 '17,337
Q4 '16,417
Q3 '16,332
Q2 '16,332
Q1 '16,344
Q4 '15,437
Q3 '15,411
Q2 '15,421
Q1 '15,402
Q4 '14,496
Q3 '14,450
Q2 '14,457
Q1 '14*,459
Q4 '13,605
Q3 '13,532
Q2 '13,578
Q1 '13,586
Q4 '12,803
Q3 '12,677
Q2 '12,686
Q1 '12,535
Q4 '11,766
Q3 '11,633
Q2 '11,636
Q1 '11,587
Q4 '10,747
Q3 '10,617
Q2 '10,625
Q1 '10,569
Q4 '09,773
Q3 '09,602
Q2 '09,613
Q1 '09,534
Q4 '08,786
Q3 '08,594
Q2 '08,654
Q1 '08,573
Q4 '07,821
Q3 '07,644
Q2 '07,657
Q1 '07,526
Q4 '06,790
Q3 '06,586
