Country,Number of tests performed
USA,261874382
India,177463405
China,160000000
Russia,92300000
UK,57144355
France,36400946
Germany,34801593
Brazil,28600000
Spain,27839319
Italy,27139378
Turkey,25315565
Canada,14180625
Colombia,8353073
Iran,7885416
Indonesia,7577380
Poland,7381821
Belgium,7052844
Pakistan,6923857
Philippines,6860584
South Africa,6828147
Chile,6629287
Netherlands,6001738
Ukraine,5645178
Peru,5581668
Argentina,5001234
Romania,4868383
Iraq,4708871
Sweden,4516665
Czechia,3880950
Mexico,3711777
Bangladesh,3286885
