Song (first performance/release date),Number of tracks on Spotify
Silent Night (1818)*,26496
White Christmas (1940),20721
Jingle Bells (1857)*,19080
The Christmas Song (1944),13208
The First Noel (1833)*,12476
Wintern Wonderland (1934),12196
Santa Claus Is Coming To Town (1934),12085
Have Yourelf a Merry Little Christmas (1943),11714
Joy To The World (1836)*,11395
Away In A Manger (1887)*,10074
"God Rest Ye, Merry Gentlemen (1827)*",9988
"Hark, the Herald Angels Sing (1840)*",9864
O Holy Night (1847)*,9730
I’ll Be Home for Christmas (1943),9318
Deck the Halls (1800)*,9146
O Little Town of Bethlehem (1868)*,9001
"Rudolph, the Red-Nosed Reindeer (1939)",8947
Silver Bells (1950),8451
It Came Upon the Midnight Clear (1850)*,8291
Ave Maria (1850)*,8195
O Come All Ye Faithful (1751)*,8159
Sleigh Ride (1948),7684
We Wish You a Merry Christmas (1500)*,7491
What Child Is This? (1865)*,7443
Blue Christmas (1964),6964
