Year,Population in thousands
2020,65273.51
2019,65129.73
2018,64990.51
2017,64842.51
2016,64667.59
2015,64453.19
2014,64193.55
2013,63893.52
2012,63564.22
2011,63222.23
2010,62879.54
2009,62542.88
2008,62209.21
2007,61869.23
2006,61508.92
2005,61120.13
2004,60697.98
2003,60251.59
2002,59803.43
2001,59384.13
2000,59015.09
1999,58704.38
1998,58444.25
1997,58220.66
1996,58012.06
1995,57801.89
1994,57587.12
1993,57370.38
1992,57147.21
1991,56913.58
1990,56666.86
1989,56404.3
1988,56126.34
1987,55837.62
1986,55545.27
1985,55254.84
1984,54965.17
1983,54675.37
1982,54391.47
1981,54121.01
1980,53868.01
1979,53637.07
1978,53423.11
1977,53208.55
1976,52969.31
1975,52688.58
1974,52356.79
1973,51979.53
1972,51573.27
1971,51162.57
1970,50763.92
1969,50387.44
1968,50024.59
1967,49651.08
1966,49232.54
1965,48746.65
1964,48184.41
1963,47560.83
1962,46907.04
1961,46266.97
1960,45673.15
1959,45138.43
1958,44659.05
1957,44221.22
1956,43809
1955,43411.38
1954,43024.82
1953,42654.66
1952,42315.6
1951,42031.2
1950,41833.87
1949,41600
1948,41400
1947,41200
1946,41100
1945,40900
1944,40800
1943,40600
1942,40500
1941,40400
1940,40300
1939,40300
1938,40300
1937,40400
1936,40400
1935,40500
1934,40600
1933,40600
1932,40700
1931,40700
1930,40600
1929,40500
1928,40300
1927,40000
1926,39800
1925,39500
1924,39300
1923,39000
1922,38700
1921,38600
1920,38500
1919,38600
1918,38700
1917,38900
1916,39100
1915,39300
1914,39600
1913,39800
1912,40000
1911,40200
1910,40300
1909,40400
1908,40400
1907,40400
1906,40300
1905,40300
1904,40200
1903,40200
1902,40100
1901,40100
1900,40000
1899,40000
1898,39900
1897,39900
1896,39800
1895,39800
1894,39700
1893,39700
1892,39600
1891,39600
1890,39500
1889,39500
1888,39400
1887,39300
1886,39200
1885,39100
1884,39000
1883,39000
1882,38900
1881,38800
1880,38700
1879,38700
1878,38600
1877,38600
1876,38500
1875,38500
1874,38400
1873,38400
1872,38300
1871,38300
1870,38200
1869,38100
1868,38000
1867,37900
1866,37800
1865,37700
1864,37600
1863,37500
1862,37400
1861,37300
1860,37200
1859,37100
1858,37000
1857,36900
1856,36900
1855,36800
1854,36700
1853,36600
1852,36500
1851,36400
1850,36300
1849,36200
1848,36100
1847,35900
1846,35800
1845,35600
1844,35500
1843,35300
1842,35200
1841,35000
1840,34900
1839,34700
1838,34600
1837,34400
1836,34300
1835,34100
1834,33900
1833,33800
1832,33600
1831,33400
1830,33300
1829,33100
1828,32900
1827,32700
1826,32500
1825,32300
1824,32100
1823,31900
1822,31700
1821,31500
1820,31300
1819,31200
1818,31000
1817,30900
1816,30800
1815,30700
1814,30600
1813,30400
1812,30300
1811,30200
1810,30100
1809,30000
1808,29900
1807,29800
1806,29700
1805,29500
1804,29400
1803,29300
1802,29200
1801,29100
1800,29000
......,-
1784*,24800
1762*,21769
1700*,19669
