Response,Share of respondents
Energy Star Certified,79%
Animal Welfare Approved,77%
Certified Pesticide Residue Free,75%
Certified Humane,74%
American Grassfed,70%
Non-GMO Project verified,68%
USDA Organic,66%
Fair trade,65%
GAP 5-Step Animal Welfare Rating Program,62%
Rainforest Alliance Certified,62%
Transitional Organic,61%
Certified Carbon Neutral,60%
Food Alliance Certified,59%
MSC Certified,58%
Fair for life,58%
ASC Certified,58%
FSC Certified,57%
Demeter Certified Biodynamic,55%
Certified B Corporation,53%
Oregon Tilth Certified Organic,51%
Certified Halal,34%
Certified Vegan,33%
Certified Kosher,31%
