business school,Median salary
Harvard University - Harvard Business School,127236
University of Pennsylvania - The Wharton School,123431
University of Chicago - Booth School of Business,119104
Columbia University - Columbia Business School,118179
Northwestern University - Kellogg School of Management,118175
"University of Michigan, Ann Arbor - Ross School of Business",115309
Duke University - Fuqua School of Business,114109
University of Virginia - Darden School of Business,112194
"University of California, Berkeley - Haas School of Business",112013
Cornell University - Johnson Graduate School of Management,111000
"University of California, Los Angeles - Anderson School of Management",110265
Carnegie Mellon University - Tepper School of Business,109982
Yale University - Yale School of Managment,109872
Emory University - Goizueta Business School,107220
"University of North Carolina, Chapel Hill - Kenan-Flagler Business School",104286
Indiana University - Kelley School of Business,103747
University of Maryland - Smith School of Business,92781
