Response,Percentage of patients
West Virginia,16.4%
Kentucky,15.3%
Vermont,14.7%
New Hampshire,14.5%
Maine,14.2%
Iowa,14.1%
Missouri,13.9%
North Dakota,13.9%
Indiana,13.4%
Arkansas,13.3%
Kansas,13.1%
Louisiana,13%
Michigan,13%
Rhode Island,13%
Massachusetts,12.9%
Utah,12.9%
Ohio,12.8%
Minnesota,12.7%
Montana,12.6%
Pennsylvania,12.6%
South Dakota,12.6%
Alabama,12.3%
Oklahoma,12.2%
Tennessee,12.2%
North Carolina,12.1%
Nebraska,12.1%
South Carolina,11.9%
Wyoming,11.8%
Mississippi,11.6%
Wisconsin,11.6%
Idaho,11.3%
Virginia,11.2%
Delaware,10.9%
Washington,10.9%
Connecticut,10.8%
Maryland,10.7%
Oregon,10.6%
Illinois,10.5%
Colorado,9.8%
Georgia,9.7%
New Mexico,9.5%
District of Columbia,9.3%
Texas,9.3%
Arizona,8.8%
Florida,8.8%
New Jersey,8.3%
New York,7.7%
California,7.4%
Alaska,7.3%
Nevada,7.1%
Hawaii,3.4%
