Response,Share of people aged 15-64 with a degree
Ireland,40.5%
Cyprus,39.4%
United Kingdom,39.3%
Luxembourg,38.3%
Switzerland,37.7%
Norway,37.5%
Finland,37.3%
Sweden,37.1%
Iceland,36.5%
Lithuania,36.1%
Belgium,36%
Estonia,35.9%
Spain,34%
Netherlands,33%
France,32.8%
Denmark,32.7%
Latvia,30.1%
Austria,30.1%
Slovenia,28.7%
Greece,27.7%
Poland,27.2%
Germany,25.2%
Bulgaria,24.8%
Malta,24.6%
Portugal,22.5%
Croatia,22%
Slovakia,22%
Hungary,21.7%
Czechia,21.7%
Serbia,20.4%
Montenegro,20.3%
North Macedonia,17.6%
Turkey,17.3%
Italy,17.1%
Romania,15.5%
