department of Colombia,Number of cases
Bogotá D.C.,314745
Antioquia,163952
Valle del Cauca,81101
Atlántico,71334
Cundinamarca,41740
Santander,41505
Bolívar,32571
Córdoba,26139
Cesar,25536
Meta,22208
Huila,21578
Nariño,21537
Norte de Santander,20941
Tolima,18818
Magdalena,17156
Risaralda,16926
Sucre,15355
Boyacá,13727
Cauca,13021
Caldas,12847
Caquetá,11136
La Guajira,9733
Quindío,9378
Casanare,4822
Putumayo,4318
Chocó,4174
Arauca,3135
Amazonas,2892
San Andrés y Providencia,1866
Guaviare,1416
Guainía,1118
Vaupés,1062
Vichada,787
