Year,GDP per capita in U.S. dollars
2025*,34830.19
2024*,33668.39
2023*,32535.27
2022*,31147.89
2021*,29685.75
2020*,26240.05
2019,28049.01
2018,28897.32
2017,26474.53
2016,24618.93
2015,23354.31
2014,27273.65
2013,27825.72
2012,29066.12
2011,32692.86
2010,31262.53
2009,32635.74
2008,36030.55
2007,31774.61
2006,27448.4
2005,25527.25
2004,23969.82
2003,20389.34
2002,16188.53
2001,14904.89
2000,14464.82
1999,15379.99
1998,15181.97
1997,14324.09
1996,15260.55
1995,15397.12
1994,12525.48
1993,11342.56
1992,12158.76
1991,10413.86
1990,10360.13
1989,8635.88
1988,8204.41
1987,7188.31
1986,6057.98
1985,4824.74
