Country,Number of supplier factories
China,330
Turkey,112
India,91
Bangladesh,88
Sri Lanka,39
United Kingdom,38
Cambodia,33
Vietnam,28
Italy,15
Myanmar,14
Pakistan,11
Portugal,8
Indonesia,8
Taiwan,7
Thailand,7
Poland,7
Morocco,6
Egypt,5
Romania,3
Georgia,3
Bulgaria,2
Germany,2
Netherlands,2
Madagascar,2
Nepal,2
Serbia,2
Slovenia,2
Brazil,1
Belarus,1
Tunisia,1
France,1
Estonia,1
Spain,1
USA,1
Hong Kong,1
Hungary,1
Lithuania,1
Northern Mariana Islands,1
Philippines,1
Ukraine,1
United Arab Emirates,1
