Year,Number of recipients in thousands
2029-30*,849.0
2028-29*,849.0
2027-28*,849.0
2026-27*,847.0
2025-26*,844.0
2024-25*,841.0
2023-24*,838.0
2022-23*,836.0
2021-22*,835.0
2020-21*,833.0
2019-20*,832.0
2018-19*,829.0
2017-18,820.1
2016-17,804.54
2015-16,785.76
2014-15,758.8
2013-14,754.58
2012-13,751.72
2011-12,755.97
2010-11,730.92
2009-10,693.31
2008-09,662.08
2007-08,630.84
2006-07,610.7
2005-06,599.86
2004-05,580.15
2003-04,564.27
2002-03,518.7
2001-02,487.31
2000-01,473.5
1999-00,463.19
1989-90,330.15
1979-80,305.2
1969-70,213.59
1959-60,74.44
1949-50,58.18
1939-40,26.73
1929-30,14.97
1919-20,4.28
1909-10,2.11
1899-00,1.58
1889-90,1.01
1879-80,0.88
