Month,Number of cases
Apr 2,765
Apr 1,734
Mar 31,663
Mar 30,448
Mar 29,628
Mar 28,584
Mar 27,342
Mar 26,324
Mar 25*,1100
Mar 24,167
Mar 23,188
Mar 22,171
Mar 21,183
Mar 20,102
Mar 19,123
Mar 18,54
Mar 17,32
Mar 16,5
Mar 15,58
Mar 14,29
Mar 13,26
Mar 12,21
Mar 11,4
Mar 10,14
Mar 9,0
Mar 8,18
Mar 7,6
Mar 6,17
Mar 5,5
Mar 4,3
Mar 3,2
Mar 2,0
Mar 1,3
Feb 29,3
Feb 28,1
Feb 27,1
Feb 26,1
Feb 25,0
Feb 24,0
Feb 23,0
Feb 22,0
Feb 21,1
Feb 20,0
Feb 19,0
Feb 18,0
Feb 17,0
Feb 16,0
Feb 15,0
Feb 14,0
Feb 13,0
Feb 12,0
Feb 11,0
Feb 10,0
Feb 9,0
Feb 8,0
Feb 7,0
Feb 6,0
Feb 5,0
Feb 4,0
Feb 3,0
Feb 2,0
Feb 1,0
Jan 31,0
Jan 30,0
Jan 29,0
Jan 28,0
Jan 27,0
Jan 26,0
Jan 25,0
Jan 24,0
Jan 23,0
Jan 22,0
