Industry,Number of employed people
Public administration,6809
Retail trade,2844
Accommodation and food services,1912
Educational services,1480
Transportation and warehousing,1416
Health care and social assistance,1368
Construction,1333
"Professional, scientific and technical services",717
Other services (except public administration),574
"Administrative and support, waste management and remediation services",504
Information and cultural industries,493
"Arts, entertainment and recreation",383
Wholesale trade,377
Finance and insurance,332
Real estate and rental and leasing,308
Management of companies and enterprises,36
