Month,Number of viewers in thousands
November 2020,39.42
October 2020,32.61
September 2020,28.98
Augsut 2020,34.07
July 2020,29.17
June 2020,27.86
May 2020,30.41
April 2020,40.74
March 2020,32.13
February 2020,27.52
January 2020,28.5
December 2019,35.15
November 2019,36.61
October 2019,19.01
September 2019,23.14
August 2019,28.96
July 2019,15.18
June 2019,29.19
May 2019,33.06
April 2019,47.75
March 2019,21.47
February 2019,20.42
January 2019,32.88
December 2018,41.8
November 2018,27.06
October 2018,29.83
September 2018,33.65
August 2018,50.81
July 2018,37.43
June 2018,38.38
May 2018,45.35
April 2018,59.68
March 2018,37.77
February 2018,41.63
January 2018,47.13
