Sporting Kansas City player,Payroll in thousand U.S. dollars
Felipe  Gutierrez,1650.0
Johnny Russell,1450.0
Krisztian  Nemeth,1063.67
Andreu  Fontas,1050.0
Ilie  Sanchez,900.0
Roger  Espinoza,800.0
Graham  Zusi,688.33
Matt  Besler,675.0
Gerso  Fernandes,550.01
Benny  Feilhaber,463.4
Rodney  Wallace,360.0
Tim  Melia,341.67
Botond  Baráth,297.33
Luis  Martins,240.0
Nicolas  Hasler,183.67
Erik  Hurtado,181.25
Jimmy  Medranda,155.0
Seth  Sinovic,143.0
Daniel  Salloi,139.62
Gianluca Busio,92.5
Jaylin  Lindsey,88.0
Tyler  Freeman,82.75
Gedion  Zelalem,77.92
Eric  Dick,73.7
Wan  Kuzain,70.88
Adrian  Zendejas,70.25
Cameron  Duke,69.25
Graham  Smith,57.23
Felipe  Hernandez,56.25
