city,PM2.5 concentration in μg/m³
Coyhaique (Chile),41.5
Toluca (Mexico),29.4
Santiago (Chile),27.7
Puerto Montt (Chile),26.4
Lima (Peru),23.7
Sabaneta (Colombia),22.4
Leon (Mexico),20.9
Mexico  City (Mexico),20.5
San Benito (Guatemala),20.2
Campinas (Brazil),20.0
Medellín (Colombia),19.9
Monterrey (Mexico),19.3
Guadalajara (Mexico),18.9
Trujillo (Peru),18.1
Santos (Brazil),15.4
São Paulo  (Brazil),15.3
Valparaíso (Chile),14.4
Bogotá  (Colombia),13.1
Buenos Aires (Argentina),12.4
Quito (Ecuador),8.6
