Response,Share of respondents
"Smart TV (e.g., Apple TV, Samsung Smart TV)",25%
"Smart meter (e.g., an Internet-connected thermostat or utility meter)",19%
Smart watch,17%
"Connected car (e.g., car with Internet connection, GPS system or electronic toll collection device)",16%
"Wireless fitness tracker (e.g., Fitbit, FuelBand)",15%
Smart refrigerator,11%
"Smart glasses (e.g., headpiece that delivers digital information hands-free, such as Google Glass)",8%
Employee access card with sensor,3%
"You do not want to get any ""connected devices"" in the next year",39%
Other,1%
