Year,Number of residents in thousands
2020,329484.12
2019,328329.95
2018,326838.2
2017,325122.13
2016,323071.76
2015,320738.99
2014,318386.33
2013,316059.95
2012,313877.66
2011,311583.48
2010,309327.14
2009,307007.0
2008,304375.0
2007,301580.0
2006,298593.0
2005,295753.0
2004,293046.0
2003,290326.0
2002,287804.0
2001,285082.0
2000,282172.0
1999,279040.0
1998,275854.0
1997,272647.0
1996,269394.0
1995,266278.0
1994,263126.0
1993,259919.0
1992,256514.0
1991,252981.0
1990,249623.0
1989,246819.0
1988,244499.0
1987,242289.0
1986,240133.0
1985,237924.0
1984,235825.0
1983,233792.0
1982,231664.0
1981,229466.0
1980,226546.0
1979,225055.0
1978,222585.0
1977,220239.0
1976,218035.0
1975,215973.0
1974,213854.0
1973,211909.0
1972,209896.0
1971,207661.0
1970,203302.0
1969,202677.0
1968,200706.0
1967,198712.0
1966,196560.0
1965,194303.0
1964,191889.0
1963,189242.0
1962,186538.0
1961,183691.0
1960,179323.0
1959,177830.0
1958,174882.0
1957,171984.0
1956,168903.0
1955,165931.0
1954,163026.0
1953,160184.0
1952,157553.0
1951,154878.0
1950,152271.0
