Month,Inflation rate
Jul '20,3.1%
Jun '20,3.1%
May '20,5.1%
Apr '20,5.1%
Mar '20,4.6%
Feb '20,4%
Jan '20,3.4%
Dec '19,3.3%
Nov '19,2.4%
Oct '19,1.5%
Sep '19,1.7%
Aug '19,2.9%
Jul '19,2.9%
Jun '19,2.2%
May '19,0.7%
Apr '19,0.5%
Mar '19,-0.2%
Feb '19,0.4%
Jan '19,0.8%
Dec '18,0.6%
Nov '18,1.9%
Oct '18,2.7%
Sep '18,2.5%
Aug '18,2.8%
Jul '18,2.5%
Jun '18,3.3%
May '18,3.4%
Apr '18,3.7%
Mar '18,3.6%
Feb '18,2.4%
Jan '18,2.9%
Dec '17,2.9%
Nov '17,2.7%
Oct '17,1.7%
Sep '17,2%
Aug '17,1.4%
Jul '17,1.5%
Jun '17,1.3%
May '17,2.6%
Apr '17,1.8%
Mar '17,2.4%
Feb '17,3.6%
Jan '17,2.8%
Dec '16,1.7%
Nov '16,1.3%
Oct '16,2.1%
Sep '16,1.1%
Aug '16,1.4%
Jul '16,1.3%
Jun '16,1.1%
May '16,-0.2%
Apr '16,-0.2%
Mar '16,0.4%
Feb '16,0.5%
Jan '16,0.4%
Dec '15,1.5%
Nov '15,1%
Oct '15,1.1%
Sep '15,1.2%
Aug '15,1.8%
Jul '15,1.4%
Jun '15,1.2%
