financial year,GVA in billion GBP
Wholesale and retail trade; repair of motor vehicles and motorcycles,204.17
"Professional, scientific and technical activities",177.66
Manufacturing,169.55
Information and communication,134.43
Administrative and support service activities,129.63
Construction,105.0
Transport and Storage,85.53
Accommodation and food service activities,53.54
Real estate activities,46.77
Human health and social work activities,38.14
"Electricity, gas, steam and air conditioning supply",27.01
Education,25.5
"Arts, entertainment and recreation",25.28
"Water supply, sewerage, waste management, and remediation activities",21.11
Mining and quarrying,20.1
Other service activities,19.49
"Agriculture, forestry and fishing",2.56
