Year,GDP per capita in euros
2018,44920
2017,43088
2016,41593
2015,40733
2014,39820
2013,39303
2012,38971
2011,38960
2010,38470
2009,37800
2008,39354
2007,37796
2006,35761
2005,33755
2004,32508
2003,31606
2002,31032
2001,30031
2000,28383
1999,26528
1998,25103
1997,23641
1996,22190
1995,21317
1994,20355
1993,19488
1992,19075
1991,18438
1990,17593
1989,16742
1988,15915
1987,15359
1986,15325
1985,14961
1984,14527
1983,13832
1982,13417
1981,13045
1980,12443
1979,11651
1978,10976
1977,10209
1976,9509
1975,8418
1974,7857
1973,6781
1972,5978
1971,5392
1970,4808
1969,4342
1968,3590
1967,3271
1966,3016
1965,2806
1964,2533
1963,2182
1962,2038
1961,1920
1960,1843
