Economic Risk,Risk rank
China experiences a hard landing,20
"Russia's interventions in Ukraine and Syria precede a new ""cold war""",16
Currency volatility culminates in an emerging markets corporate debt crisis,16
"""Grexit"" is followed by a euro zone break-up",15
"Beset by external and internal pressures, the EU begins to fracture",15
The rising threat of jihadi terrorism destabilizes the global economy,12
Donal Trump wins the U.S. presidential election,12
The UK votes to leave the EU,8
Chinese expansionism prompts a clash of arms in the South China Sea,8
A collapse in investment in the oil sector prompts a future oil price shock,4
