Month,Total amounts outstanding in million U.S. dollars
Dec '19,15193
Nov '19,14585
Oct '19,15055
Sep '19,14776
Aug '19,15250
Jul '19,14243
Jun '19,14086
May '19,12994
Apr '19,12786
Mar '19,12926
Feb '19,13120
Jan '19,13199
Dec '18,12809
Nov '18,12161
Oct '18,12137
Sep '18,11879
Aug '18,12015
Jul '18,12182
Jun '18,12485
May '18,13021
Apr '18,13105
Mar '18,13207
Feb '18,13147
Jan '18,13418
Dec '17,12879
Nov '17,12771
Oct '17,12671
Sep '17,12800
Aug '17,13086
Jul '17,12645
Jun '17,12393
May '17,12623
Apr '17,12636
Mar '17,12420
Feb '17,12533
Jan '17,12099
Dec '16,11544
Nov '16,11744
Oct '16,12712
Sep '16,13197
Aug '16,13072
Jul '16,13393
Jun '16,13170
May '16,12098
