beauty product search query,Year-on-year growth of search phrase volume
black bath bomb,"9,757%"
carbonated bubble clay mask,"2,188%"
charcoal mask,274%
bath bombs,123%
facial cleanser,85%
aztec clay mask,72%
DIY face mask,48%
epsom salt bath,29%
DIY lip scrub,28%
face mask,26%
castor oil uses,21%
cerave lotion,18%
antibacterial soap,16%
cocoa butter,14%
oatmeal bath,12%
rose hip oil,9%
african black soap,9%
sugar scrub,8%
bubble bath,4%
coconut oil for acne,3%
castile soap,0%
soap,-2%
cellulite cream,-6%
shea butter,-7%
coconut oil for skin,-10%
cream,-11%
skin lightening cream,-11%
hydroquinone cream,-12%
marula oil,-14%
emu oil,-15%
tea tree oil for acne,-15%
bath salts,-22%
lotion,-35%
bio oil reviews,-40%
