Response,Share of responding businesses
Attracting customers,75%
Increasing revenue,74%
Maintaining profitability,40%
Developing new products/innovation,34%
Retaining/recruiting skilled employees,27%
Tax laws and rules,18%
Securing financing for expansion,16%
Securing financing for business as usual,15%
"Other government regulations (e.g., compliance, technical regulation, patents, reporting)",13%
Finding/working with suppliers,13%
Selling to foreign markets,10%
Uncertainty over economic conditions,9%
