Year,"Deaths per 1,000 live births"
2020,4.0
2015,5.0
2010,6.0
2005,6.0
2000,7.0
1995,8.0
1990,11.0
1985,12.0
1980,16.0
1975,20.0
1970,22.0
1965,25.0
1960,28.0
1955,33.0
1950,44.27
1945,65.47
1940,75.84
1935,88.34
1930,101.42
1925,112.48
1920,141.82
1915,162.78
1910,172.13
1905,200.16
1900,228.08
1895,228.17
1890,226.1
1885,223.2
1880,238.93
1875,248.41
1870,262.29
1865,266.08
1860,261.75
1855,267.36
1850,273.78
1845,255.65
1840,267.72
1835,297.69
1830,309.17
1825,315.44
1820,313.26
1815,310.02
1810,315.87
1805,323.07
1800,329.04
