Response,Percentage of adults
West Virginia,43.8%
Mississipi,43.6%
Alabama,42.5%
Arkansas,41%
Kentucky,40.9%
Louisiana,39.7%
Tennessee,39.3%
South Carolina,38.3%
Oklahoma,37.8%
Delaware,36.4%
Maine,36.2%
Michigan,35.1%
North Carolina,35.1%
Georgia,34.8%
Indiana,34.8%
Ohio,34.5%
Maryland,34.3%
Virginia,33.6%
Kansas,33.5%
Florida,33.5%
Pennsylvania,33.3%
Rhode Island,33%
Nevada,32.8%
Alaska,32.8%
Arizona,32.5%
Illinois,32.2%
Iowa,31.8%
Texas,31.7%
New Mexico,31.6%
New Hampshire,31.5%
Wisconsin,31%
Nebraska,31%
South Dakota,30.9%
Missouri,30.9%
Connecticut,30.9%
Wyoming,30.7%
Hawaii,30.7%
Oregon,30.6%
Idaho,30.6%
Washington,30.3%
Vermont,30.2%
North Dakota,29.8%
New York,29.6%
Montana,29.5%
Minnesota,28.7%
Massachusetts,28.1%
D.C.,27.2%
California,27%
Utah,25.8%
Colorado,25.8%
