Year,GDP in billion international dollars
2021*,12399.0
2020*,11321.28
2019,11043.18
2018,10413.61
2017,9579.69
2016,8783.89
2015,8030.82
2014,7359.58
2013,6727.34
2012,6214.49
2011,5782.04
2010,5311.15
2009,4761.46
2008,4356.04
2007,4112.91
2006,3647.77
2005,3240.42
2004,2875.56
2003,2596.38
2002,2361.45
2001,2237.26
2000,2086.1
1999,1962.48
1998,1783.6
1997,1661.02
1996,1569.31
1995,1432.91
1994,1304.66
1993,1197.64
1992,1116.86
1991,1035.22
1990,990.88
1989,905.05
1988,822.02
1987,724.29
1986,679.85
1985,636.05
1984,585.77
