stadium,Venue construction costs (in million U.S. dollars)
"New Yankee Stadium, 2009",1500
"Citi Field, 2009",860
"National Park, 2008",611
"Rogers Centre, 1989",570
"Safeco Field, 1999",517
"Miller Park, 2001",414
"Busch Stadium, 2006",365
"Comerica Park, 2000",361
"Chase Field, 1998",354
"Citizens Bank Park, 2004",346
"AT&T Park, 2000",325
"Great American Ball Park, 2003",291
"PETCO Park, 2004",285
"Minute Maid Park, 2000",265
"LandShark Stadium, 2007",250
"Kauffman Stadium, 2009",250
"PNC Park, 2001",237
"Turner Field, 1996",235
"Coors Field, 1995",215
"Oakland-Alameda County Coliseum, 1996",200
"Rangers Ballpark in Arlington, 1994",191
"Progressive Field, 1994",175
"U.S. Cellular Field, 1991",167
"Tropicana Field, 1990",138
"Oriole Park at Camden Yards, 1992",110
"Fenway Park, 2008",105
"Angel Stadium of Anaheim, 1998",100
