Year,GDP per capita in U.S. dollars
2025*,20186.47
2024*,19466.61
2023*,18774.56
2022*,17765.43
2021*,16490.62
2020*,15246.4
2019*,18853.68
2018*,18060.37
2017*,17994.32
2016*,17708.18
2015,17004.85
2014,15483.41
2013,15977.28
2012,15219.2
2011,15742.96
2010,14904.95
2009,15074.21
2008,15762.7
2007,14541.89
2006,13355.57
2005,11884.78
2004,11032.72
2003,10270.54
2002,10652.25
2001,10327.64
2000,9544.83
1999,8670.83
1998,8260.89
1997,8010.44
1996,7195.17
1995,6819.77
1994,6407.52
1993,5806.09
1992,5386.94
1991,4912.92
1990,4969.88
1989,4392.77
1988,3926.96
1987,3289.06
1986,2851.26
1985,2406.13
