Year,2019-valued British pounds
2019,1.0
2018,1.03
2017,1.06
2016,1.1
2015,1.12
2014,1.13
2013,1.15
2012,1.19
2011,1.23
2010,1.29
2009,1.35
2008,1.34
2007,1.4
2006,1.46
2005,1.5
2004,1.55
2003,1.59
2002,1.64
2001,1.67
2000,1.7
1999,1.75
1998,1.77
1997,1.83
1996,1.89
1995,1.94
1994,2.0
1993,2.05
1992,2.09
1991,2.16
1990,2.29
1989,2.51
1988,2.7
1987,2.83
1986,2.95
1985,3.05
1984,3.24
1983,3.4
1982,3.56
1981,3.86
1980,4.32
1979,5.1
1978,5.78
1977,6.26
1976,7.25
1975,8.45
1974,10.5
1973,12.19
1972,13.29
1971,14.24
1970,15.59
1969,16.58
1968,17.47
1967,18.29
1966,18.77
1965,19.51
1964,20.42
1963,21.1
1962,21.5
1961,22.43
1960,23.2
1959,23.44
1958,23.54
1957,24.29
1956,25.15
1955,26.43
1954,27.59
1953,28.13
1952,28.99
1951,31.65
1950,34.52
1949,35.6
1948,36.63
1947,39.42
1946,42.2
1945,43.48
1944,44.68
1943,45.94
1942,47.47
1941,50.86
1940,56.4
1939,65.86
1938,67.82
1937,68.63
1936,71.21
1935,71.65
1934,72.11
1933,72.11
1932,70.33
1931,68.63
1930,65.86
1929,64.01
1928,63.29
1927,63.29
1926,61.58
1925,61.25
1924,61.25
1923,60.93
1922,57.25
1921,49.32
1920,45.03
1919,52.02
1918,57.25
1917,69.9
1916,87.64
1915,103.57
1914,116.26
1913,116.26
1912,115.08
1911,118.68
1910,118.68
1909,119.93
1908,121.2
1907,121.2
1906,122.51
1905,122.51
1904,122.51
1903,122.51
1902,123.84
1901,123.84
1900,123.84
1899,129.47
1898,130.95
1897,130.95
1896,134.04
1895,132.48
1894,130.95
1893,129.47
1892,128.01
1891,128.01
1890,129.47
1889,129.47
1888,130.95
1887,132.48
1886,130.95
1885,129.47
1884,125.2
1883,122.51
1882,121.2
1881,122.51
1880,121.2
1879,125.2
1878,119.93
1877,117.45
1876,116.26
1875,116.26
1874,113.93
1873,109.55
1872,113.93
1871,118.68
1870,119.93
1869,119.93
1868,113.93
1867,121.8
1866,119.93
1865,126.59
1864,128.01
1863,126.59
1862,122.51
1861,119.93
1860,122.51
1859,126.59
1858,125.2
1857,113.93
1856,108.5
1855,108.5
1854,111.7
1853,128.01
1852,140.65
1851,140.65
1850,135.63
1849,128.01
1848,119.93
1847,104.52
1846,117.45
1845,122.51
1844,128.01
1843,128.01
1842,113.93
1841,104.52
1840,102.64
1839,104.52
1838,111.7
1837,112.8
1836,115.08
1835,128.01
1834,130.95
1833,119.93
1832,112.8
1831,104.52
1830,115.08
1829,110.61
1828,109.55
1827,106.48
1826,99.94
1825,94.16
1824,110.61
1823,119.93
1822,128.01
1821,110.61
1820,97.38
1819,88.32
1818,86.31
1817,86.31
1816,98.22
1815,89.71
1814,80.23
1813,69.9
1812,71.65
1811,81.38
1810,79.12
1809,81.38
1808,89.01
1807,92.63
1806,90.42
1805,86.97
1804,100.82
1803,103.57
1802,98.22
1801,75.45
1800,84.39
1799,115.08
1798,129.47
1797,126.59
1796,113.93
1795,121.2
1794,134.04
1793,146.06
1792,149.91
1791,151.91
1790,151.91
1789,153.96
1788,151.91
1787,158.24
1786,158.24
1785,158.24
1784,149.91
1783,151.91
1782,170.04
1781,172.62
1780,180.84
1779,175.28
1778,175.28
1777,165.12
1776,165.12
1775,162.76
1774,151.91
1773,153.96
1772,153.96
1771,170.04
1770,183.76
1769,183.76
1768,170.04
1767,167.54
1766,175.28
1765,178.02
1764,183.76
1763,199.88
1762,207.15
1761,214.96
1760,203.45
1759,196.43
1758,180.84
1757,180.84
1756,219.1
1755,227.86
1754,214.96
1753,223.39
1752,219.1
1751,227.86
1750,223.39
1749,222.28
1748,221.01
1747,227.55
1746,221.56
1745,238.99
1744,250.72
1743,242.32
1742,221.41
1741,190.05
1740,196.69
1739,225.17
1738,234.79
1737,226.41
1736,217.38
1735,218.22
1734,227.28
1733,239.9
1732,249.05
1731,234.14
1730,216.49
1729,193.02
1728,181.69
1727,205.42
1726,199.58
1725,207.6
1724,221.19
1723,221.02
1722,222.96
1721,216.92
1720,208.18
1719,227.1
1718,220.34
1717,211.25
1716,207.0
1715,220.03
1714,196.78
1713,206.85
1712,208.0
1711,191.63
1710,171.72
1709,180.1
1708,225.49
1707,241.94
1706,240.76
1705,237.54
1704,224.26
1703,243.47
1702,234.7
1701,229.13
1700,206.99
1699,187.89
1698,173.68
1697,184.85
1696,190.22
1695,209.01
1694,196.24
1693,193.96
1692,216.51
1691,250.93
1690,244.64
1689,256.14
1688,251.92
1687,241.21
1686,237.08
1685,208.25
1684,218.09
1683,220.78
1682,218.33
1681,215.04
1680,223.33
1679,207.34
1678,211.16
1677,223.31
1676,236.54
1675,203.42
1674,192.48
1673,219.58
1672,232.62
1671,223.19
1670,224.34
1669,219.59
1668,240.63
1667,241.97
1666,236.43
1665,220.6
1664,207.65
1663,206.76
1662,184.51
1661,188.74
1660,202.58
1659,190.78
1658,204.06
1657,222.02
1656,234.03
1655,270.61
1654,261.89
1653,228.24
