city and country,Turnover in million DKK
Takeda Pharma A/S,84741
Novo Nordisk A/S,47615
Højbjerg Maskinfabrik A/S,44552
Ørsted Wind Power A/S,28469
Danske Bank A/S,26288
Ball A/S,23722
Lego A/S,10510
A.P Møller og Hustru Chastine Mc-Kinney Møllers Fond Til Almene Formaal,10136
Lego System A/S,9223
Pandora A/S,6582
Lundbeck A/S,5289
Coloplast A/S,3797
Augustinus Fonden,3011
Chr. Augustinus Fabrikker Aktieselskab,2751
Sund og Bælt Holding A/S,2261
ISS World Services A/S,2176
Bestseller A/S,2175
Jysk Holding A/S,2149
Siemens Gamesa Renewable Energy A/S,2144
Danfoss Power Solutions Holding ApS,2134
