Year,Purcashing power of one U.S dollar
2020,1.0
2019,1.02
2018,1.04
2017,1.06
2016,1.08
2015,1.1
2014,1.1
2013,1.12
2012,1.13
2011,1.16
2010,1.19
2009,1.21
2008,1.21
2007,1.26
2006,1.29
2005,1.33
2004,1.38
2003,1.41
2002,1.45
2001,1.47
2000,1.51
1999,1.56
1998,1.6
1997,1.62
1996,1.66
1995,1.71
1994,1.76
1993,1.8
1992,1.86
1991,1.91
1990,1.99
1989,2.1
1988,2.2
1987,2.29
1986,2.37
1985,2.42
1984,2.51
1983,2.61
1982,2.7
1981,2.86
1980,3.16
1979,3.59
1978,3.99
1977,4.3
1976,4.57
1975,4.84
1974,5.28
1973,5.86
1972,6.23
1971,6.43
1970,6.71
1969,7.09
1968,7.48
1967,7.79
1966,8.03
1965,8.26
1964,8.4
1963,8.51
1962,8.62
1961,8.71
1960,8.79
1959,8.94
1958,9.01
1957,9.26
1956,9.57
1955,9.71
1954,9.68
1953,9.75
1952,9.82
1951,10.01
1950,10.8
1949,10.94
1948,10.8
1947,11.67
1946,13.35
1945,14.46
1944,14.79
1943,15.05
1942,15.97
1941,17.71
1940,18.59
1939,18.73
1938,18.46
1937,18.07
1936,18.73
1935,19.0
1934,19.42
1933,20.02
1932,19.0
1931,17.12
1930,15.59
1929,15.22
1928,15.22
1927,14.96
1926,14.71
1925,14.87
1924,15.22
1923,15.22
1922,15.49
1921,14.54
1920,13.01
1919,15.05
1918,17.24
1917,20.33
1916,23.88
1915,25.77
1914,26.03
1913,26.29
1912,26.83
1911,27.4
1910,27.4
1909,28.6
1908,28.29
1907,27.69
1906,28.92
1905,29.58
1904,29.24
1903,29.58
1902,30.27
1901,30.62
1900,30.99
1899,31.36
1898,31.36
1897,31.36
1896,30.99
1895,30.99
1894,30.27
1893,28.92
1892,28.6
1891,28.6
1890,28.6
1889,28.29
1888,27.4
1887,27.4
1886,27.69
1885,26.83
1884,26.56
1883,25.77
1882,25.52
1881,25.52
1880,25.52
1879,26.03
1878,26.03
1877,24.79
1876,24.33
1875,23.66
1874,22.83
1873,21.69
1872,21.33
1871,21.33
1870,19.87
1869,19.14
1868,18.33
1867,17.59
1866,16.37
1865,15.97
1864,16.58
1863,20.66
1862,25.77
1861,29.58
1860,31.36
1859,31.36
1858,31.74
1857,29.92
1856,30.62
1855,29.92
1854,30.99
1853,33.8
1852,33.8
1851,33.8
1850,33.37
1849,33.8
1848,32.95
1847,31.74
1846,33.8
1845,34.25
1844,34.7
1843,35.17
1842,31.74
1841,29.92
1840,29.92
1839,27.99
1838,27.99
1837,27.11
1836,27.99
1835,29.58
1834,30.27
1833,30.99
1832,30.27
1831,29.92
1830,28.29
1829,27.99
1828,27.4
1827,26.03
1826,26.29
1825,26.29
1824,26.83
1823,24.79
1822,22.25
1821,23.03
1820,22.25
1819,20.49
1818,20.49
1817,19.57
1816,18.46
1815,16.9
1814,14.79
1813,16.27
1812,19.57
1811,19.87
1810,21.16
1809,21.16
1808,20.66
1807,22.44
1806,21.33
1805,22.25
1804,22.06
1803,23.03
1802,24.33
1801,20.49
1800,20.66
1799,21.16
1798,21.16
1797,20.49
1796,19.72
1795,20.66
1794,23.66
1793,26.29
1792,27.11
1791,27.69
1790,28.29
1789,29.58
1788,29.24
1787,27.99
1786,27.4
1785,26.83
1784,25.52
1783,24.55
1782,21.51
1781,23.45
1780,19.0
1779,21.33
1778,18.86
1777,24.55
1776,29.92
1775,33.8
1774,32.13
1773,30.27
1772,28.6
1771,33.37
1770,31.74
1769,34.25
1768,36.15
1767,34.25
1766,33.8
1765,36.15
1764,37.18
1763,34.7
1762,34.7
1761,37.72
1760,34.25
1759,32.95
1758,38.85
1757,41.98
1756,44.88
1755,43.38
1754,42.67
1753,40.67
1752,39.44
1751,40.67
1750,40.67
1749,40.67
1748,41.31
1747,49.11
1746,54.22
1745,56.58
1744,54.22
1743,50.05
1742,44.88
1741,40.04
1740,66.74
1739,70.35
1738,63.48
1737,65.07
1736,68.49
1735,65.07
1734,68.49
1733,66.74
1732,68.49
1731,61.97
1730,56.58
1729,56.58
1728,56.58
1727,52.06
1726,55.38
1725,52.06
1724,60.53
1723,61.97
1722,63.48
1721,65.07
1720,61.97
1719,57.84
1718,63.48
1717,57.84
1716,63.48
1715,59.15
1714,70.35
1713,63.48
1712,68.49
1711,65.07
1710,63.48
1709,57.84
1708,72.3
1707,60.53
1706,57.84
1705,61.97
1704,56.58
1703,66.74
1702,66.74
1701,60.53
1700,63.48
1699,61.97
1698,68.49
1697,65.07
1696,65.07
1695,76.55
1694,72.3
1693,76.55
1692,72.3
1691,66.74
1690,70.35
1689,72.3
1688,74.37
1687,68.49
1686,68.49
1685,63.48
1684,70.35
1683,70.35
1682,70.35
1681,59.15
1680,61.97
1679,72.3
1678,72.3
1677,68.49
1676,70.35
1675,72.3
1674,63.48
1673,66.74
1672,65.07
1671,65.07
1670,65.07
1669,65.07
1668,60.53
1667,63.48
1666,68.49
1665,68.49
1664,57.84
1663,57.84
1662,57.84
1661,61.97
1660,52.06
1659,59.15
1658,66.74
1657,43.38
1656,35.17
1655,34.7
1654,33.37
1653,33.37
1652,43.38
1651,34.25
1650,45.66
1649,24.33
1648,35.65
1647,63.48
1646,47.32
1645,29.58
1644,26.03
1643,18.73
1642,27.11
1641,27.11
1640,27.11
1639,23.66
1638,38.85
1637,20.33
1636,17.47
1635,31.63
