Month,Index number of sales per week
Jun 20,112.8
May 20,54.4
Apr 20,29.2
Mar 20,89.6
Feb 20,154.7
Jan 20,120.1
Dec 19,115.5
Nov 19,128.6
Oct 19,149.4
Sep 19,113.5
Aug 19,110.5
Jul 19,113.9
Jun 19,161.3
May 19,112.3
Apr 19,96.8
Mar 19,165.8
Feb 19,147.5
Jan 19,114.0
Dec 18,127.4
Nov 18,118.5
Oct 18,79.8
Sep 18,105.2
Aug 18,106.0
Jul 18,130.3
Jun 18,100.6
May 18,100.7
Apr 18,107.1
Mar 18,116.1
Feb 18,98.1
Jan 18,107.4
Dec 17,111.3
Nov 17,103.7
Oct 17,116.3
Sep 17,113.1
Aug 17,107.1
Jul 17,126.0
Jun 17,90.0
May 17,113.9
Apr 17,107.7
Mar 17,80.6
Feb 17,87.7
Jan 17,100.8
Dec 16,98.2
Nov 16,100.7
Oct 16,99.5
Sep 16,102.4
Aug 16,108.3
Jul 16,92.0
Jun 16,99.7
May 16,86.5
Apr 16,102.0
Mar 16,99.9
Feb 16,104.0
Jan 16,104.0
