state of India,Number of teachers
Maharastra,172046
Karnataka,127898
Telangana,120017
Andhra Pradesh,117220
Rajasthan,114947
Tamil Nadu,83095
Assam,82335
Odisha,82252
Punjab,59967
Madhya Pradesh,51155
Uttar Pradesh,48979
Jammu & Kashmir,42233
West Bengal,41759
Bihar,40095
Haryana,37902
Kerala,35461
Jharkhand,28095
Gujarat,23446
Chhattisgarh,19989
Manipur,14678
Himachal Pradesh,14418
Tripura,10456
Uttarakhand,9949
Delhi,9301
Meghalaya,9002
Nagaland,8994
Goa,6896
Mizoram,4394
Arunachal Pradesh,3898
Puducherry,3487
Sikkim,2915
Chandigarh,2824
Andaman & Nicobar Islands,992
Dadra & Nagar Haveli,256
Daman & Diu,217
Lakshadweep,23
