Month,Number of patients
"Nov 26, 2020",1
"Nov 25, 2020",8
"Nov 24, 2020",10
"Nov 23, 2020",14
"Nov 22, 2020",16
"Nov 21, 2020",15
"Nov 20, 2020",15
"Nov 19, 2020",15
"Nov 18, 2020",10
"Nov 17, 2020",20
"Nov 16, 2020",16
"Nov 15, 2020",12
"Nov 14, 2020",13
"Nov 13, 2020",17
"Nov 12, 2020",17
"Nov 11, 2020",19
"Nov 10, 2020",13
"Nov 9, 2020",16
"Nov 8, 2020",10
"Nov 7, 2020",10
"Nov 6, 2020",18
"Nov 5, 2020",15
"Nov 4, 2020",9
"Nov 3, 2020",19
"Nov 2, 2020",12
"Nov 1, 2020",5
"Oct 31, 2020",7
"Oct 30, 2020",5
"Oct 29, 2020",13
"Oct 28, 2020",7
"Oct 27, 2020",5
"Oct 26, 2020",13
"Oct 25, 2020",7
"Oct 24, 2020",7
"Oct 23, 2020",5
"Oct 22, 2020",3
"Oct 21, 2020",10
"Oct 20, 2020",8
"Oct 19, 2020",1
"Oct 18, 2020",3
"Oct 17, 2020",5
"Oct 16, 2020",3
"Oct 15, 2020",4
"Oct 14, 2020",0
"Oct 13, 2020",2
"Oct 12, 2020",5
"Oct 11, 2020",5
"Oct 10, 2020",4
"Oct 9, 2020",10
"Oct 8, 2020",3
"Oct 7, 2020",4
"Oct 6, 2020",1
"Oct 5, 2020",2
"Oct 4, 2020",1
"Oct 3, 2020",0
"Oct 2, 2020",4
"Oct 1, 2020",5
"Sep 30, 2020",2
"Sep 29, 2020",4
"Sep 28, 2020",5
"Sep 27, 2020",1
"Sep 26, 2020",1
"Sep 25, 2020",1
"Sep 24, 2020",3
"Sep 23, 2020",3
"Sep 22, 2020",3
"Sep 21, 2020",3
"Sep 20, 2020",2
"Sep 19, 2020",5
"Sep 18, 2020",2
"Sep 17, 2020",2
"Sep 16, 2020",4
"Sep 15, 2020",0
"Sep 14, 2020",6
"Sep 13, 2020",1
"Sep 12, 2020",2
"Sep 11, 2020",3
"Sep 10, 2020",4
"Sep 9, 2020",4
