Company,Net profit in thousand DKK
Carlsberg Global Business Services A/S,140086
Visma BLUEGARDEN A/S,116507
Zitcom A/S,89097
Jobindex A/S,88404
Just Eat.dk ApS,77450
IT Relation A/S,64630
Silkeborg Data A/S,44135
Byggefakta A/S,35459
Compugroup Medical Denmark A/S,31988
Forsikringens Datacenter A/S,30117
Proløn A/S,25200
Six Financial Information Denmark A/S,24210
"Nordiske Medier, Aalborg A/S",24046
SØGEMEDIER ApS,22840
Amino ApS,22600
HLTV.org ApS,20462
Secunia ApS,18276
Moviestarplanet ApS,18153
E-boks A/S,17673
S360 A/S,16984
