Month,Daily percentage change in hospitalized persons
Nov 20,0.5%
Nov 19,-1.2%
Nov 17,2.6%
Nov 16,2.1%
Nov 13,1.8%
Nov 12,1.8%
Nov 9,3.7%
Nov 6,1.9%
Nov 5,2.5%
Nov 4,2.7%
Nov 3,5.4%
Oct 30,5.6%
Oct 29,5%
Oct 27,8.2%
Oct 23,6.9%
Oct 22,6.9%
Oct 21,5.3%
Oct 20,7%
Oct 15,7.5%
Oct 14,7.3%
Oct 13,7.7%
Oct 12,6.9%
Oct 9,6.5%
Oct 8,3.5%
Oct 7,7.6%
Oct 6,17.8%
Oct 5,16.9%
Oct 2,5.5%
Oct 1,3.2%
Sep 30,3.4%
Sep 29,4.08%
Sep 28,3.69%
Sep 27,4.17%
Sep 26,6.97%
Sep 25,1.58%
Sep 24,-0.36%
Sep 23,-1.1%
Sep 22,0.71%
Sep 21,-0.3%
Sep 20,0.4%
Sep 19,2.7%
Sep 18,0.42%
Sep 17,-4.48%
Sep 16,0.55%
Sep 15,1.22%
Sep 14,0.56%
Sep 13,0.77%
Sep 12,-0.56%
Sep 11,1.7%
Sep 10,-7.1%
Sep 9,1.4%
Sep 8,-3.4%
Sep 7,-3%
Sep 3,0.5%
Sep 2,1.4%
Sep 1,-4.9%
Aug 31,1.3%
Aug 28,1.6%
Aug 26,0.1%
Aug 25,-1.8%
Aug 24,8.2%
Aug 14,-0.9%
Aug 13,1.9%
Aug 12,1.8%
Aug 11,2.9%
Aug 10,1.6%
Aug 5,2.1%
Aug 4,1%
Aug 3,0.3%
Jul 31,5%
Jul 30,0.4%
Jul 29,1.9%
Jul 28,1.8%
Jul 27,1.5%
Jul 24,-0.6%
Jul 23,-1.1%
Jul 22,2.3%
Jul 21,2%
Jul 20,1%
Jul 17,3.5%
Jul 16,-1.6%
Jul 15,-0.4%
Jul 14,-3.6%
Jul 13,1.9%
Jul 12,-0.4%
Jul 11,1.3%
Jul 10,-5.3%
Jul 9,0.2%
Jul 8,1.5%
Jul 7,-7.4%
Jul 6,1.4%
Jul 5,2%
Jul 4,-0.7%
Jul 3,-2.5%
Jul 2,-7.1%
Jul 1,6.2%
Jun 30,0.8%
Jun 29,-2.6%
Jun 28,-1.3%
Jun 27,-3.3%
Jun 26,-2.1%
Jun 25,0.5%
Jun 24,1.5%
Jun 23,1.9%
Jun 22,1.2%
Jun 21,-2.8%
Jun 20,2.4%
Jun 19,2%
Jun 18,9.2%
Jun 17,-6.3%
Jun 16,4%
Jun 15,-0.7%
Jun 14,2.2%
Jun 13,5%
Jun 12,-4.2%
Jun 11,-14.7%
Jun 10,-2.3%
Jun 9,8.4%
Jun 8,-6.3%
Jun 7,-5.7%
Jun 6,2.1%
Jun 5,-0.8%
Jun 4,-2.3%
Jun 3,-3.1%
Jun 2,1.7%
Jun 1,2.2%
May 31,-3.3%
May 30,8.5%
May 29,-9.5%
May 28,-3.1%
May 27,6.9%
May 26,-4.3%
May 25,1.2%
May 24,-1.3%
May 23,0.4%
May 22,-3%
May 21,-3.5%
May 20,-3.1%
May 19,-2.1%
May 18,3.5%
May 17,2.2%
May 16,-6.7%
May 15,1.6%
May 14,-4.2%
May 13,3%
May 12,-1%
May 11,-2.3%
May 10,-4%
May 9,0.4%
May 8,1.7%
May 7,-1.8%
May 6,0.8%
May 5,3.2%
May 4,-3.9%
May 3,4.2%
May 2,-5%
May 1,-7.4%
Apr 30,1.3%
Apr 29,1.3%
Apr 28,6.3%
Apr 27,0.4%
Apr 26,-2.6%
Apr 25,-8.9%
Apr 24,-0.1%
Apr 23,-11.6%
Apr 22,20.3%
Apr 21,16%
Apr 20,1.2%
Apr 19,-8.9%
Apr 18,1.9%
Apr 17,2.5%
Apr 16,4.3%
Apr 15,1.1%
Apr 14,-1.6%
Apr 13,1.2%
Apr 12,2.3%
Apr 11,0.7%
Apr 10,-2.6%
Apr 09,2%
Apr 08,-2.1%
Apr 07,1.3%
Apr 06,0.4%
Apr 05,5.7%
Apr 04,6.7%
Apr 03,-6.9%
Apr 02,20.4%
Mar 31,1.3%
Mar 30,1.1%
Mar 29,9.3%
Mar 28,1.4%
Mar 27,5.6%
Mar 26,-0.6%
Mar 25,9.2%
Mar 24,30%
Mar 23,5%
Mar 22,3.53%
Mar 21,16.59%
Mar 20,3.1%
Mar 19,-5.6%
Mar 18,10.8%
Mar 17,13.5%
Mar 16,-4.4%
Mar 15,46%
Mar 14,1%
Mar 13,35.7%
Mar 12,21.1%
Mar 11,44.1%
Mar 10,-52.9%
Mar 09,178%
Mar 08,15.1%
Mar 07,14.1%
Mar 06,39.1%
Mar 05,41.5%
Mar 04,0%
