Month,Index numbers of sales per week*
Nov 20,221.4
Oct 20,196.9
Sep 20,186.7
Aug 20,189.4
Jul 20,205.0
June 20,219.5
May 20,221.8
Apr 20,183.5
Mar 20,117.1
Feb 20,101.0
Jan 20,97.3
Dec 19,110.9
Nov 19,106.5
Oct 19,98.8
Sep 19,97.4
Aug 19,98.9
Jul 19,98.1
Jun 19,95.7
May 19,97.8
Apr 19,99.1
Mar 19,97.1
Feb 19,99.6
Jan 19,95.7
Dec 18,118.9
Nov 18,107.9
Oct 18,96.7
Sep 18,90.9
Aug 18,91.4
July 18,97.9
June 18,102.1
May 18,102.7
Apr 18,98.5
Mar 18,98.4
Feb 18,99.2
Jan 18,92.8
Dec 17,114.1
Nov 17,104.9
Oct 17,93.4
Sep 17,88.5
Aug 17,85.8
July 17,88.4
Jun 17,89.0
May 17,87.6
Apr 17,88.6
Mar 17,88.7
Feb 17,85.1
Jan 17,86.8
Dec 16,99.9
Nov 16,97.4
Oct 16,86.2
Sep 16,79.9
Aug 16,73.4
Jul 16,77.3
Jun 16,80.2
May 16,81.7
Apr 16,73.9
Mar 16,74.0
Feb 16,73.9
Jan 16,74.4
Dec 15,77.5
Nov 15,77.2
Oct 15,70.0
Sep 15,70.0
Aug 15,66.2
Jul 15,68.1
Jun 15,70.7
May 15,69.7
Apr 15,66.1
Mar 15,70.1
Feb 15,68.1
Jan 15,66.6
