Week ending,Number of initial unemployment insurance claims in thousands
"January 2, 2021",787
"December 26, 2020",790
"December 19, 2020",806
"December 12, 2020",892
"December 5, 2020",862
"November 28, 2020",716
"November 21, 2020",787
"November 14, 2020",748
"November 7, 2020",711
"October 31, 2020",757
"October 24, 2020",758
"October 17, 2020",797
"October 10, 2020",842
"October 3, 2020",767
"September 26, 2020",849
"September 19, 2020",873
"September 12, 2020",866
"September 5, 2020",893
"August 29, 2020",884
"August 22, 2020",1011
"August 15, 2020",1104
"August 8, 2020",971
"August 1, 2020",1191
"July 25, 2020",1435
"July 18, 2020",1422
"July 11, 2020",1308
"July 4, 2020",1310
"June 27, 2020",1408
"June 20, 2020",1482
"June 13, 2020",1540
"June 6, 2020",1566
"May 30, 2020",1897
"May 23, 2020",2123
"May 16, 2020",2446
"May 9, 2020",2687
"May 2, 2020",3176
"April 25, 2020",3867
"April 18, 2020",4442
"April 11, 2020",5237
"April 4, 2020",6615
"March 28, 2020",6867
"March 21, 2020",3307
"March 14, 2020",282
"March 7, 2020",211
"February 29, 2020",217
"February 22, 2020",220
"February 15, 2020",215
"February 8, 2020",204
"February 1, 2020",201
"January 25, 2020",212
"January 18, 2020",220
"January 11, 2020",207
"January 4, 2020",212
