Year,Number of cumulative cases
1/5/21,20470169
1/4/21,20258725
1/3/21,19974413
1/2/21,19578217
1/1/21,19346790
12/31/20,19346790
12/30/20,19147627
12/29/20,18972813
12/28/20,18827300
12/27/20,18648989
12/26/20,18503500
12/25/20,18311405
12/24/20,18090260
12/23/20,17895109
12/22/20,17712290
12/21/20,17515091
12/20/20,17314834
12/19/20,16912564
12/18/20,16682649
12/17/20,16446844
12/16/20,16245376
12/15/20,16041095
12/14/20,15860675
12/13/20,15648098
12/12/20,15404889
12/11/20,15203208
12/10/20,14972356
12/9/20,14755996
12/8/20,14570523
12/7/20,14397135
12/6/20,14191298
12/5/20,13978171
12/4/20,13759500
12/3/20,13563731
12/2/20,13385755
12/1/20,13234551
11/30/20,13082877
11/29/20,12939666
11/28/20,12763997
11/27/20,12622775
11/26/20,12441925
11/25/20,12276834
11/24/20,12119654
11/23/20,11972556
11/22/20,11789012
11/21/20,11597979
11/20/20,11413788
11/19/20,11249228
11/18/20,11085184
11/17/20,10933918
11/16/20,10796432
11/15/20,10641431
11/14/20,10460365
11/13/20,10266631
11/12/20,10124555
11/11/20,9990620
11/10/20,9868389
11/9/20,9763730
11/8/20,9636579
11/7/20,9504758
11/6/20,9387978
11/5/20,9281928
11/4/20,9193765
11/3/20,9108353
11/2/20,9032465
11/1/20,8952086
10/31/20,8852730
10/30/20,8763682
10/29/20,8683298
10/28/20,8611256
10/27/20,8548111
10/26/20,8485747
10/25/20,8403121
10/24/20,8320491
10/23/20,8248149
10/22/20,8184788
10/21/20,8124633
10/20/20,8065615
10/19/20,8019237
10/18/20,7966729
10/17/20,7896895
10/16/20,7833851
10/15/20,7774745
10/14/20,7728436
10/13/20,7682128
10/12/20,7636803
10/11/20,7583748
10/10/20,7525920
10/9/20,7471688
10/8/20,7419230
10/7/20,7380326
10/6/20,7341406
10/5/20,7305270
10/4/20,7256234
10/3/20,7206769
10/2/20,7160476
10/1/20,7115491
9/30/20,7077015
9/29/20,7044327
9/28/20,7009110
9/27/20,6960152
9/26/20,6910082
9/25/20,6868828
9/24/20,6828785
9/23/20,6779609
9/22/20,6740464
9/21/20,6703698
9/20/20,6662003
9/19/20,6613737
9/18/20,6571119
9/17/20,6530324
9/16/20,6496246
9/15/20,6462135
9/14/20,6426958
9/13/20,6386832
9/12/20,6341309
9/11/20,6304181
9/10/20,6272193
9/9/20,6248989
9/8/20,6222974
9/7/20,6189488
9/6/20,6144138
9/5/20,6095007
9/4/20,6050444
9/3/20,6011042
9/2/20,5968380
9/1/20,5936572
