Year,GDP per capita in U.S. dollars
2025*,7542.16
2024*,7235.48
2023*,6931.88
2022*,6570.94
2021*,6229.42
2020*,5844.69
2019*,6957.86
2018,7003.52
2017,6728.72
2016,6173.17
2015,6141.43
2014,6565.41
2013,6632.22
2012,6402.12
2011,5733.22
2010,5051.26
2009,4165.8
2008,4227.53
2007,3587.8
2006,3121.91
2005,2695.73
2004,2429.34
2003,2178.49
2002,2036.38
2001,1957.52
2000,1962.98
1999,1929.71
1998,2168.23
1997,2297.79
1996,2221.56
1995,2179.18
1994,1863.3
1993,1487.86
1992,1562.58
1991,1530.74
1990,1301.47
1989,1908.46
1988,1579.55
1987,2040.65
1986,1263.73
1985,861.6
