Associate's degree,Mid-career pay in U.S. dollars
Physician Assistant Studies,99400
Radiation Therapy,92600
Advertising & Marketing Communications,90000
Software Engineering,89600
Computer Science (CS) & Mathematics,85900
Instrumentation & Control Engineering,85400
Project Management,84700
Applied Computer Science,84500
Instrumentation Technology,82400
Biomedical Engineering (BME),81800
Network Engineering,81300
Instrumentation & Control,80700
Biomedical Engineering Technology,78900
Electrical Engineering (EE),78700
Management Information Systems (MIS),78400
Occupational Health and Safety,77800
Industrial Design (ID),77500
Nuclear Medicine,77300
Diagnostic Medical Ultrasound,77300
Construction Management,77300
