Year,S&P/BVL Peru General Index in Peruvian soles
10/15/2020,17691.12
10/14/2020,17835.07
10/13/2020,17821.34
10/12/2020,18013.55
10/9/2020,18112.09
10/8/2020,18032.17
10/7/2020,17958.97
10/6/2020,18129.09
10/5/2020,17953.38
10/2/2020,17911.89
10/1/2020,17842.81
9/30/2020,17948.78
9/29/2020,17881.34
9/28/2020,17875.08
9/25/2020,17743.88
9/24/2020,17777.88
9/23/2020,17497.24
9/22/2020,17777.89
9/21/2020,17692.68
9/18/2020,17907.31
9/17/2020,18021.2
9/16/2020,18093.99
9/15/2020,17966.72
9/14/2020,18163.12
9/11/2020,18026.12
9/10/2020,18102.49
9/9/2020,18267.71
9/8/2020,18103.14
9/4/2020,18138.12
9/3/2020,18485.97
9/2/2020,18487.05
9/1/2020,18675.74
8/31/2020,18577.08
8/28/2020,18420.62
8/27/2020,18338.83
8/26/2020,18330.81
8/25/2020,18252.13
8/24/2020,18295.22
8/21/2020,18276.22
8/20/2020,18349.71
8/19/2020,18351.77
8/18/2020,18522.05
8/17/2020,18467.1
8/14/2020,18307.13
8/13/2020,18192.34
8/12/2020,17983.07
8/11/2020,17910.34
8/10/2020,17981.82
8/7/2020,17972.36
8/6/2020,18017.36
8/5/2020,17935.06
8/4/2020,17571.8
8/3/2020,17559.53
7/31/2020,17512.53
7/30/2020,17614.34
7/29/2020,17737.74
7/27/2020,17700.78
7/24/2020,17288.66
7/23/2020,17268.44
7/22/2020,17243.38
7/21/2020,17134.52
7/20/2020,16817.61
7/17/2020,16752.86
7/16/2020,16649.49
7/15/2020,16741.43
7/14/2020,16574.72
7/13/2020,16646.36
7/10/2020,16671.15
7/9/2020,16599.65
7/8/2020,16835.88
7/7/2020,16913.77
7/6/2020,16976.05
7/2/2020,16737.05
7/1/2020,16724.02
6/30/2020,16878.0
6/26/2020,16634.47
6/25/2020,16632.44
6/24/2020,16753.23
6/23/2020,16951.07
6/22/2020,16913.69
6/19/2020,16972.14
6/18/2020,16948.36
6/17/2020,17008.54
6/16/2020,17019.72
6/15/2020,16983.24
6/12/2020,16824.21
6/11/2020,16603.5
6/10/2020,17324.63
6/9/2020,17323.39
6/8/2020,17488.35
6/5/2020,17236.69
6/4/2020,16618.33
6/3/2020,16342.08
6/2/2020,15780.96
6/1/2020,15743.47
5/29/2020,15580.85
5/28/2020,15777.54
5/27/2020,15725.53
5/26/2020,15485.68
5/22/2020,15349.3
5/21/2020,15423.58
5/20/2020,15427.15
5/19/2020,15461.57
5/18/2020,15679.31
5/15/2020,15189.15
5/14/2020,15126.21
5/13/2020,15143.33
5/12/2020,15485.86
5/11/2020,15265.59
5/8/2020,15409.18
5/7/2020,15095.05
5/6/2020,14953.76
5/5/2020,14900.48
5/4/2020,14722.3
4/30/2020,14779.28
4/29/2020,14933.61
4/28/2020,14453.53
4/27/2020,14345.05
4/24/2020,14229.95
4/23/2020,14384.07
4/22/2020,14403.89
4/21/2020,14306.62
4/20/2020,14625.61
4/17/2020,14493.95
4/16/2020,14446.73
4/15/2020,14456.95
4/14/2020,14464.82
4/13/2020,14379.82
4/8/2020,13912.39
4/7/2020,13774.5
4/6/2020,13565.64
4/3/2020,13538.79
4/2/2020,13785.72
4/1/2020,13900.05
3/31/2020,14463.96
3/30/2020,13911.73
3/27/2020,13892.62
3/26/2020,14483.46
3/25/2020,14539.6
3/24/2020,14243.5
3/23/2020,14050.97
3/20/2020,14389.9
3/19/2020,14650.97
3/18/2020,14523.92
3/17/2020,15403.07
3/16/2020,15215.21
3/13/2020,15947.4
3/12/2020,15312.23
3/11/2020,17094.31
3/10/2020,17750.63
3/9/2020,17323.13
3/6/2020,18285.94
3/5/2020,18718.23
3/4/2020,18837.4
3/3/2020,18494.81
3/2/2020,18555.85
2/28/2020,18264.3
2/27/2020,18608.19
2/26/2020,18945.68
2/25/2020,18852.95
2/24/2020,19196.6
2/21/2020,19600.88
2/20/2020,19715.96
2/19/2020,19728.32
2/18/2020,19600.06
2/14/2020,19854.48
2/13/2020,20008.03
2/12/2020,20059.31
2/11/2020,19958.87
2/10/2020,19941.39
2/7/2020,19883.88
2/6/2020,20101.01
2/5/2020,20393.94
2/4/2020,20251.61
2/3/2020,19835.79
1/31/2020,19834.9
1/30/2020,19914.98
1/29/2020,19979.74
1/28/2020,19924.76
1/27/2020,19964.42
1/24/2020,20319.2
1/23/2020,20545.19
1/22/2020,20679.59
1/21/2020,20612.18
1/17/2020,20727.28
1/16/2020,20610.52
1/15/2020,20557.02
1/14/2020,20489.66
1/13/2020,20475.92
1/10/2020,20447.35
1/9/2020,20420.17
1/8/2020,20381.92
1/7/2020,20475.28
1/6/2020,20568.39
1/3/2020,20545.51
1/2/2020,20634.14
