Month,PSNB in million GBP
Feb '18,-272
Jan '18,-11719
Dec '17,1100
Nov '17,6463
Oct '17,6257
Sep '17,3465
Aug '17,2815
Jul '17,-2317
Jun '17,4590
May '17,5560
Apr '17,7678
Mar '17,508
Feb '17,-2770
Jan '17,-13213
Dec '16,4493
Nov '16,8336
Oct '16,6957
Sep '16,6065
Aug '16,6364
Jul '16,-125
Jun '16,4155
May '16,6383
Apr '16,8382
Mar '16,3854
Feb '16,4052
Jan '16,-9535
Dec '15,6745
Nov '15,10865
Oct '15,9921
Sep '15,7447
Aug '15,8219
Jul '15,1508
Jun '15,7238
May '15,6973
Apr '15,8809
Mar '15,4898
Feb '15,4861
Jan '15,-6140
Dec '14,11245
Nov '14,10242
Oct '14,10505
Sep '14,8861
Aug '14,7982
Jul '14,2762
Jun '14,7785
May '14,9995
Apr '14,10144
Mar '14,4967
Feb '14,7642
Jan '14,-2647
