Response,Share of population
2018,80.44%
2017,80.18%
2016,79.92%
2015,79.66%
2014,79.39%
2013,79.14%
2012,78.88%
2011,78.62%
2010,78.37%
2009,78.12%
2008,77.87%
2007,77.62%
2006,77.38%
2005,77.13%
2004,76.88%
2003,76.63%
2002,76.38%
2001,76.13%
2000,75.87%
1999,75.61%
1998,75.42%
1997,75.25%
1996,75.08%
1995,74.91%
1994,74.74%
1993,74.57%
1992,74.4%
1991,74.23%
1990,74.06%
1989,73.95%
1988,73.88%
1987,73.8%
1986,73.72%
1985,73.65%
1984,73.58%
1983,73.5%
1982,73.42%
1981,73.35%
1980,73.28%
1979,73.21%
1978,73.14%
1977,73.07%
1976,73%
1975,72.93%
1974,72.65%
1973,72.26%
1972,71.86%
1971,71.46%
1970,71.06%
1969,70.65%
1968,70.24%
1967,69.36%
1966,68.22%
1965,67.07%
1964,65.9%
1963,64.7%
1962,63.49%
1961,62.61%
1960,61.88%
