city of the United States,Number of apprehensions
Miami (Coastal Border),1891
New Orleans (Coastal Border),1132
Ramey (Coastal Border),562
Coastal Border Sectors Total,3585
Blaine (Northern Border),524
Buffalo (Northern Border),537
Detroit (Northern Border),1322
Grand Forks (Northern Border),412
Havre (Northern Border),77
Houlton (Northern Border),52
Spokane (Northern Border),428
Swanton (Northern Border),1056
Northern Border Sectors Total,4408
"Big Bend, formerly Marfa (Southwest Border)",9637
Del Rio (Southwest Border),57269
El Centro (Southwest Border),35138
El Paso (Southwest Border),182143
Laredo (Southwest Border),38378
"Rio Grande Valley, formerly McAllen (Southwest Border)",339135
San Diego (Southwest Border),58049
Tucson (Southwest Border),63490
Yuma (Southwest Border),68269
Southwest Border Sectors Total*,851508
Nationwide Total**,859501
