Wool sale dates*,Average price in pence per kilogram
3 Oct '17,100
19 Sep '17,98
5 Sep '17,105
15 Aug '17,107
25 Jul '17,108
4 Jul '17,106
6 Jun '17,108
9 May '17,106
11 Apr '17,116
28 Mar '17,110
7 Mar '17,107
14 Feb '17,101
24 Jan '17,105
10 Jan '17,106
13 Dec '16,109
22 Nov '16,114
8 Nov '16,120
18 Oct '16,114
4 Oct '16,115
20 Sep '16,124
6 Sep '16,124
16 Aug '16,126
26 Jul '16,131
5 Jul '16,131
7 Jun '16,125
10 May '16,127
12 Apr '16,134
15 Mar '16,134
1 Mar '16,117
16 Feb '16,117
26 Jan '16,128
12 Jan '16,125
15 Dec '15,126
24 Nov '15,125
10 Nov '15,120
20 Oct 15,123
6 Oct '15,125
22 Sep '15,127
1 Sep '15,128
18 Aug '15,143
28 Jul '15,146
7 Jul '15,151
9 Jun '15,147
12 May '15,157
14 Apr '15,150
17 Mar '15,143
3 Mar '15,144
10 Feb '15,144
27 Jan '15,142
6 Jan '15,148
9 Dec '14,145
25 Nov '14,147
11 Nov '14,151
21 Oct 2014,154
7 Oct '14,153
23 Sep '14,150
2 Sep '14,155
