payment method,Revenue in million NOK
Total revenue,1446478
Sales revenue,25874
Operating surplus extraction of petroleum,87200
Depreciation etc. extraction of petroleum,22900
Depreciation etc. other central government enterprises,2785
Other revenue from fixed capital formation,667
Total transfers,1307052
Tax revenue,865580
Members' contributions National Insurance Scheme,156500
Employers' contributions National Insurance Scheme,202600
Interest and dividends,59174
Transfers from other state accounts,102
Transfers from municipalities and county authorities,1486
Transfers from the central bank,13900
Other transfers,7710
