State,Share of households
Washington,90.7%
Utah,90.4%
Colorado,90.4%
California,89.2%
New Hampshire,88.5%
Oregon,88.5%
New Jersey,88.5%
Maryland,88.3%
Massachusetts,88.1%
Idaho,88%
Delaware,87.9%
Connecticut,87.8%
Hawaii,87.5%
Alaska,87.4%
Minnesota,87.3%
Wyoming,86.9%
District of Columbia,86.6%
Arizona,86.6%
Rhode Island,86.6%
Nebraska,86.3%
Florida,86.2%
Virginia,86.1%
Texas,85.5%
Wisconsin,85.3%
New York,85.3%
Illinois,85.2%
Nevada,85%
Michigan,85%
Pennsylvania,84.7%
Ohio,84.6%
North Carolina,84.5%
Kansas,84.5%
Montana,84.4%
South Dakota,84.4%
Maine,84.2%
Georgia,84.2%
Missouri,83.9%
Iowa,83.3%
North Dakota,83.2%
Indiana,83.1%
Oklahoma,82.8%
Vermont,82.6%
Kentucky,82.3%
Tennessee,82.1%
South Carolina,82%
Alabama,80.6%
West Virginia,79.7%
Louisiana,79.3%
Arkansas,79.1%
New Mexico,77.9%
Mississippi,75.9%
Puerto Rico,65%
