Response,Share of respondents
An eye for an eye/ they took a life/ fits the crime,35%
Save taxpayers money/ cost associated with prison,14%
They deserve it,14%
They will repeat crime/ keep them from repeating it,7%
Deterrent for potential crimes/ set an example,6%
Depends on the type of crime they commit,5%
Fair punishment,4%
Serve justice,4%
If there's no doubt the person committed the crime,3%
Support/ believe in death penalty,3%
Don't believe they can be rehabiliateted,3%
Biblical reasons,3%
Life sentences don't always mean life in prison,2%
Relieves prison overcrowding,2%
Would help/ benefit families of victims,1%
Other,1%
No opinion,4%
