Response,Share of respondents
Lead digital buisness/digital transformation activities,37%
Improve remote work experiences,37%
Upgrade IT and data security to boost corporate resiliency,29%
Reduce or rationalize IT spending,28%
Help reach specific goal for corporate revenue growth,25%
Identify new data-driven business opportunities,24%
Enable new plan for customer acquisition & retention,23%
Collaborate with business departments om major customer initiative,22%
Lead a product innovation effort,14%
Increases collaboration with LOB to help streamline technology purchases,11%
Lead merger integration or due dilligence on a potential acquisition,8%
