Response,Share of respondents
Hit by a weather disaster,21%
Airline lost luggage,21%
Got extremely lost,19%
Missed a flight or connecting transportation,16%
Overcharged by a salesperson,16%
"Had an injury, severe ilnness or medical emergency",11%
Ran out of cash or couldn't access money,8%
Blacked out or had a hangover from too much booze,7%
Couldn't find a bathroom in time,7%
Experienced local strikes or civil unrest,5%
Forgot or lost passport / ID,5%
Got pickpocketed or robbed,5%
Got bitten by bedbugs,5%
Broke up with a significant other,4%
Got arrested or had a run-in with the law,3%
Victim of a scam,3%
