Year,Year-on-year CPI change
2019,2.6%
2018,1.7%
2017,1.4%
2016,0.3%
2015,0.6%
2014,1%
2013,2.5%
2012,2.5%
2011,2.3%
2010,1.3%
2009,1.2%
2008,2.5%
2007,1.6%
2006,1.1%
2005,1.7%
2004,1.2%
2003,2.1%
2002,3.4%
2001,4.5%
2000,2.6%
1999,2.2%
1998,2%
1997,2.2%
1996,2.1%
1995,2%
1994,2.7%
1993,2.1%
1992,3.7%
1991,3.9%
1990,2.5%
1989,1.1%
1988,0.7%
1987,-0.5%
1986,0.2%
1985,2.3%
1984,3.3%
1983,2.8%
1982,6%
1981,6.7%
1980,6.5%
1979,4.2%
1978,4.1%
1977,6.7%
1976,8.8%
1975,10.2%
1974,9.6%
1973,8%
1972,7.8%
1971,7.6%
1970,4.4%
1969,7.5%
1968,3.7%
1967,3.1%
1966,5.8%
1965,5.2%
1964,5.5%
1963,3.8%
