Month,Number of cases
"Jan 03, 2021",55168
"Jan 02, 2021",55064
"Jan 01, 2021",54930
"Dec 31, 2020",54771
"Dec 30, 2020",54771
"Dec 29, 2020",54681
"Dec 28, 2020",54503
"Dec 27, 2020",54401
"Dec 26, 2020",54286
"Dec 25, 2020",54043
"Dec 24, 2020",54043
"Dec 23, 2020",54043
"Dec 22, 2020",53954
"Dec 21, 2020",53954
"Dec 20, 2020",53653
"Dec 19, 2020",53653
"Dec 18, 2020",53653
"Dec 17, 2020",53553
"Dec 16, 2020",53386
"Dec 15, 2020",53270
"Dec 14, 2020",53014
"Dec 13, 2020",52933
"Dec 12, 2020",52933
"Dec 11, 2020",52738
"Dec 10, 2020",52738
"Dec 09, 2020",52622
"Dec 08, 2020",52500
"Dec 07, 2020",52274
"Dec 06, 2020",52274
"Dec 05, 2020",52096
"Dec 04, 2020",52096
"Dec 03, 2020",51667
"Dec 02, 2020",51667
"Dec 01, 2020",51667
"Nov 30, 2020",51667
"Nov 29, 2020",51569
"Nov 28, 2020",51379
"Nov 27, 2020",51225
"Nov 26, 2020",51225
"Nov 25, 2020",51225
"Nov 24, 2020",51184
"Nov 23, 2020",50941
"Nov 22, 2020",50874
"Nov 21, 2020",50717
"Nov 20, 2020",50631
"Nov 19, 2020",50631
"Nov 18, 2020",50457
"Nov 17, 2020",50376
"Nov 16, 2020",50376
"Nov 15, 2020",50123
"Nov 14, 2020",50018
"Nov 13, 2020",50018
"Nov 12, 2020",49957
"Nov 11, 2020",49302
"Nov 10, 2020",49302
"Nov 9, 2020",49202
"Nov 8, 2020",49102
"Nov 7, 2020",48904
"Nov 6, 2020",48788
"Nov 5, 2020",48788
"Nov 4, 2020",48643
"Nov 3, 2020",48200
"Nov 2, 2020",48200
"Nov 1, 2020",48124
"Oct 31, 2020",48055
"Oct 30, 2020",48055
"Oct 29, 2020",48055
"Oct 28, 2020",47775
"Oct 27, 2020",47775
"Oct 26, 2020",47775
"Oct 25, 2020",47690
"Oct 24, 2020",47690
"Oct 23, 2020",47601
"Oct 22, 2020",47538
"Oct 21, 2020",47461
"Oct 20, 2020",47461
"Oct 19, 2020",47372
"Oct 18, 2020",47310
"Oct 17, 2020",47232
"Oct 16, 2020",47173
"Oct 15, 2020",47173
"Oct 14, 2020",47126
"Oct 13, 2020",47126
"Oct 12, 2020",47030
"Oct 11, 2020",47005
"Oct 10, 2020",47005
"Oct 09, 2020",46987
"Oct 08, 2020",46947
"Oct 07, 2020",46829
"Oct 06, 2020",46829
"Oct 05, 2020",46829
"Oct 04, 2020",46829
"Oct 03, 2020",46803
"Oct 02, 2020",46694
"Oct 01, 2020",46656
"Sep 30, 2020",46626
"Sep 29, 2020",46482
"Sep 28, 2020",46444
Sep 27. 2020,46387
"Sep 26, 2020",46222
"Sep 25, 2020",46222
"Sep 24, 2020",46222
"Sep 23, 2020",46153
"Sep 22, 2020",46062
"Sep 21, 2020",46062
"Sep 20, 2020",46004
"Sep 19, 2020",45877
"Sep 18, 2020",45760
"Sep 17, 2020",45714
"Sep 16, 2020",45655
"Sep 15, 2020",45655
"Sep 14, 2020",45601
"Sep 13, 2020",45434
"Sep 12, 2020",45434
"Sep 11, 2020",45388
"Sep 10, 2020",45313
"Sep 9, 2020",45313
"Sep 8, 2020",45012
"Sep 7, 2020",44869
"Sep 6, 2020",44777
"Sep 5, 2020",44777
"Sep 4, 2020",44777
"Sep 3, 2020",44713
"Sep 2, 2020",44658
"Sep 1, 2020",44460
"Aug 31, 2020",44298
"Aug 30, 2020",44205
"Aug 29, 2020",44118
"Aug 28, 2020",43949
"Aug 27, 2020",43841
"Aug 26, 2020",43769
"Aug 25, 2020",43717
"Aug 24, 2020",43622
"Aug 23, 2020",43505
