Disaster,Number of displaced persons in thousands
Southwest monsoon (India),2623
"Severe cyclonic storm Bulbul (India, Bangladesh)",2107
"Typhoon Lekima/Hanna (China, Japan, South Korea, Philippines, Taiwan)",2097
"Cyclone Fani - India (India, Bangladesh)*",1821
"Cyclone Fani - Bangladesh (India, Bangladesh)*",1666
"Typhoon Kammuri/TISOY (Guam, Philippines)",1424
"Flood Season (China, June)",1298
Flooding/Landslides - Davao (Philippines),580
Typhoon Phanfone/Ursula (Philippines),567
Tropical Depression Usman (Philippines),552
Floods (Iran),500
"Cyclone Idai (Malawi, Mozambique, Madagascar, Zimbabwe)",478
"Tropical storm / Hurricane Dorian (Barbados, Canada, Grenada, Saint Lucia, St Vincent and the Grenadines, Bahamas, U.S.)",454
Gu rains (Somalia),407
Monsoon (Bangladesh),307
Tropical Cyclone Vayu (India),289
"Flood Season (China, 7 provinces, July)",278
Floods (Sudan),272
Flood (South Sudan),246
Super Typhoon Hagibis (Japan; Northern Mariana Islands),237
