Month,Number of samples tested
Feb 28,116
Feb 29,142
Mar 1,165
Mar 2,191
Mar 3,215
Mar 4,231
Mar 5,239
Mar 6,247
Mar 7,254
Mar 8,260
Mar 9,275
Mar 10,290
Mar 11,321
Mar 12,366
Mar 13,442
Mar 14,520
Mar 15,624
Mar 16,742
Mar 17,935
Mar 18,1027
Mar 19,1154
Mar 20,1466
Mar 21,2086
Mar 22,2361
Mar 23,2734
Mar 24,3471
Mar 25,4320
Mar 26,5495
Mar 27,6900
Mar 28,8424
Mar 29,9891
Mar 30,11280
Mar 31,12574
Apr 1,15635
Apr 2,18432
Apr 3,21376
Apr 4,23645
Apr 5,25599
Apr 6,27807
Apr 7,30108
Apr 8,32809
Apr 9,36051
Apr 10,38472
Apr 13,41503
Apr 14,42690
Apr 15,44677
Apr 16,48537
Apr 17,53101
Apr 18,58816
Apr 19,64035
Apr 20,66352
Apr 21,70753
Apr 22,76793
Apr 23,83591
Apr 24,90992
Apr 25,98948
Apr 26,104488
Apr 27,106775
Apr 28,111809
Apr 29,118201
Apr 30,125555
May 1,132768
May 2,138270
May 3,141678
May 4,144029
May 5,149106
May 6,156493
May 7,164088
May 8,172191
May 9,180332
May 10,183913
May 11,186565
May 12,192386
May 13,200264
May 14,208253
May 15,216247
May 16,224040
May 17,228726
May 18,231104
May 19,237600
May 20,245580
May 21,253004
May 22,259043
May 23,264882
May 25,269889
May 26,275058
May 27,281232
May 28,287982
May 29,294091
May 30,294280
May 31,302859
Jun 1,304854
Jun 2,309725
Jun 3,315112
Jun 4,321040
Jun 5,326294
Jun 6,331229
Jun 7,333433
Jun 8,335686
Jun 9,340073
Jun 10,345392
Jun 11,350788
Jun 12,356062
Jun 14,363528
Jun 15,365136
Jun 16,369546
Jun 17,375572
Jun 18,381225
Jun 19,386194
Jun 20,390457
Jun 21,392553
Jun 22,394465
Jun 23,398417
Jun 24,403841
Jun 25,406557
Jun 26,410867
Jun 29,418368
Jun 30,422840
Jul 1,428238
Jul 3,436679
Jul 10,455833
Jul 13,461666
Jul 20,482607
Jul 27,504056
Aug 3,527729
Aug 10,553388
Aug 14,570657
Aug 24,608767
Aug 31,639044
Sep 7,666930
Oct 12,844742
Oct 20,905929
Nov 4,1038164
Nov 12,1146969
Nov 20,1241490
